content_type,material_source,subject,grade_level,usage_scenario,confidence,image_file,time_period,labeled_at,error,description
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (10)-1.jpg,weekday,2025-12-19T16:53:51.315986,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (105)-1.jpg,weekday,2025-12-19T16:53:51.363295,,
reading_passage,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (10)-2.jpg,weekday,2025-12-19T16:53:51.369657,,
vocabulary_exercise,official_textbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (103)-2.jpg,weekday,2025-12-19T16:53:51.807587,,
reading_passage,supplementary_book,english,grade_7_9,reading_extra,high,拍照翻译列表 (101)-1.jpg,weekday,2025-12-19T16:53:52.009819,,
reading_comprehension,workbook,english,grade_4_6,doing_exercises,high,拍照翻译列表 (100)-2.jpg,weekday,2025-12-19T16:53:52.101147,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (106)-1.jpg,weekday,2025-12-19T16:53:52.227459,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (103)-1.jpg,weekday,2025-12-19T16:53:52.230816,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (104)-2.jpg,weekday,2025-12-19T16:53:52.763708,,
other,homework_book,english,unclear,doing_homework,medium,拍照翻译列表 (11)-2.jpg,weekday,2025-12-19T16:53:52.994983,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (11)-1.jpg,weekday,2025-12-19T16:53:53.096495,,
other,other,unclear,unclear,unclear,high,拍照翻译列表 (113).jpg,weekday,2025-12-19T16:53:53.112223,,
homework_worksheet,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (111).jpg,weekday,2025-12-19T16:53:53.279747,,
cloze_test,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (104)-1.jpg,weekday,2025-12-19T16:53:53.796586,,
grammar_exercise,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (112).jpg,weekday,2025-12-19T16:53:53.989066,,
reading_passage,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (105)-2.jpg,weekday,2025-12-19T16:53:53.991755,,
other,supplementary_book,english,grade_1_3,reading_extra,medium,拍照翻译列表 (102)-2.jpg,weekday,2025-12-19T16:53:54.001755,,
grammar_exercise,workbook,physics,grade_8,doing_exercises,high,拍照翻译列表 (115).jpg,weekday,2025-12-19T16:53:54.320766,,
reading_comprehension,workbook,english,grade_4_6,doing_exercises,high,拍照翻译列表 (101)-2.jpg,weekday,2025-12-19T16:53:54.345663,,
,,,,,,拍照翻译列表 (102)-1.jpg,weekday,2025-12-19T16:53:55.069546,请求失败 (尝试 3/3): API错误: Too many requests,
dialogue_text,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (100)-1.jpg,weekday,2025-12-19T16:53:55.370600,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (16)-2.jpg,weekday,2025-12-19T16:53:55.540894,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (109).jpg,weekday,2025-12-19T16:53:56.152988,,
cloze_test,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (117).jpg,weekday,2025-12-19T16:53:57.096791,,
reading_passage,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (110).jpg,weekday,2025-12-19T16:53:57.149923,,
vocabulary_exercise,official_textbook,english,grade_1_3,previewing,high,拍照翻译列表 (12)-2.jpg,weekday,2025-12-19T16:53:57.199268,,
screen_capture,screen_capture,unclear,unclear,unclear,high,拍照翻译列表 (106)-2.jpg,weekday,2025-12-19T16:53:57.251938,,
grammar_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (12)-1.jpg,weekday,2025-12-19T16:53:57.308855,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (13)-2.jpg,weekday,2025-12-19T16:53:57.382758,,
translation_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (114).jpg,weekday,2025-12-19T16:53:57.392961,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (116).jpg,weekday,2025-12-19T16:53:57.513177,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (107).jpg,weekday,2025-12-19T16:53:57.642532,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (17)-1.jpg,weekday,2025-12-19T16:53:57.653495,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (108).jpg,weekday,2025-12-19T16:53:57.892612,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (14)-1.jpg,weekday,2025-12-19T16:53:57.914700,,
grammar_exercise,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (13)-1.jpg,weekday,2025-12-19T16:53:58.722755,,
reading_comprehension,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (17)-2.jpg,weekday,2025-12-19T16:53:58.853112,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (18)-1.jpg,weekday,2025-12-19T16:53:58.943017,,
reading_comprehension,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (14)-2.jpg,weekday,2025-12-19T16:53:58.982099,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (16)-1.jpg,weekday,2025-12-19T16:53:59.405943,,
grammar_exercise,workbook,chinese,grade_7_9,doing_exercises,high,拍照翻译列表 (20)-1.jpg,weekday,2025-12-19T16:53:59.433123,,
writing_assignment,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (27)-1.jpg,weekday,2025-12-19T16:53:59.451833,,
reading_passage,supplementary_book,english,grade_7_9,reading_extra,high,拍照翻译列表 (15)-1.jpg,weekday,2025-12-19T16:53:59.532252,,
reading_comprehension,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (19)-1.jpg,weekday,2025-12-19T16:53:59.710532,,
screen_capture,screen_capture,english,unclear,unclear,high,拍照翻译列表 (2)-2.jpg,weekday,2025-12-19T16:53:59.802660,,
other,other,unclear,unclear,unclear,low,拍照翻译列表 (2)-1.jpg,weekday,2025-12-19T16:53:59.830731,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (19)-2.jpg,weekday,2025-12-19T16:53:59.851775,,
vocabulary_exercise,workbook,english,grade_4_6,doing_exercises,high,拍照翻译列表 (21)-1.jpg,weekday,2025-12-19T16:53:59.944303,,
translation_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (21)-2.jpg,weekday,2025-12-19T16:54:00.043117,,
other,other,unclear,unclear,unclear,low,拍照翻译列表 (27)-2.jpg,weekday,2025-12-19T16:54:00.052341,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (18)-2.jpg,weekday,2025-12-19T16:54:00.073993,,
,,,,,,拍照翻译列表 (28)-1.jpg,weekday,2025-12-19T16:54:00.181658,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (28)-2.jpg,weekday,2025-12-19T16:54:00.192833,请求失败 (尝试 3/3): API错误: Too many requests,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (25)-1.jpg,weekday,2025-12-19T16:54:00.334177,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (15)-2.jpg,weekday,2025-12-19T16:54:00.363869,,
reading_passage,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (22)-2.jpg,weekday,2025-12-19T16:54:00.463500,,这是一篇英语教材中的阅读文章，主题为‘My fashion design’，介绍服装搭配设计，配有插图，排版专业，适合初中年级学生预习课文使用。
reading_passage,official_textbook,english,grade_1_3,previewing,high,拍照翻译列表 (24)-2.jpg,weekday,2025-12-19T16:54:00.672089,,
vocabulary_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (20)-2.jpg,weekday,2025-12-19T16:54:00.782046,,
reading_passage,official_textbook,english,grade_4_6,previewing,medium,拍照翻译列表 (23)-2.jpg,weekday,2025-12-19T16:54:00.842545,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (23)-1.jpg,weekday,2025-12-19T16:54:00.907135,,
writing_assignment,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (26)-2.jpg,weekday,2025-12-19T16:54:01.052427,,
other,other,english,unclear,unclear,low,拍照翻译列表 (25)-2.jpg,weekday,2025-12-19T16:54:01.112228,,
reading_comprehension,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (24)-1.jpg,weekday,2025-12-19T16:54:01.172940,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (31)-1.jpg,weekday,2025-12-19T16:54:01.252844,,
reading_passage,handout,english,grade_4_6,unclear,medium,拍照翻译列表 (31)-2.jpg,weekday,2025-12-19T16:54:01.272215,,
,,,,,,拍照翻译列表 (3)-2.jpg,weekday,2025-12-19T16:54:01.284545,请求失败 (尝试 3/3): API错误: Too many requests,
reading_passage,handout,english,grade_7_9,doing_exercises,high,拍照翻译列表 (3)-1.jpg,weekday,2025-12-19T16:54:01.452496,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (22)-1.jpg,weekday,2025-12-19T16:54:01.542569,,
grammar_exercise,workbook,english,grade_4_6,doing_exercises,high,拍照翻译列表 (29)-2.jpg,weekday,2025-12-19T16:54:01.622313,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (29)-1.jpg,weekday,2025-12-19T16:54:01.772418,,
exam_paper,exam_paper,physics,grade_10_12,reviewing_exam,high,拍照翻译列表 (30)-1.jpg,weekday,2025-12-19T16:54:01.902976,,
vocabulary_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (26)-1.jpg,weekday,2025-12-19T16:54:02.110982,,
reading_passage,official_textbook,english,grade_4_6,previewing,medium,拍照翻译列表 (30)-2.jpg,weekday,2025-12-19T16:54:02.208161,,
,,,,,,拍照翻译列表 (36)-2.jpg,weekday,2025-12-19T16:54:02.476676,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (36)-1.jpg,weekday,2025-12-19T16:54:02.478810,请求失败 (尝试 3/3): API错误: Too many requests,
vocabulary_exercise,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (34)-1.jpg,weekday,2025-12-19T16:54:02.486823,,
writing_assignment,screen_capture,english,grade_7_9,doing_exercises,high,拍照翻译列表 (32)-2.jpg,weekday,2025-12-19T16:54:02.561276,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (32)-1.jpg,weekday,2025-12-19T16:54:02.576431,,
,,,,,,拍照翻译列表 (37)-1.jpg,weekday,2025-12-19T16:54:02.578072,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (37)-2.jpg,weekday,2025-12-19T16:54:02.639524,请求失败 (尝试 3/3): API错误: Too many requests,
other,screen_capture,physics,grade_10_12,doing_exercises,high,拍照翻译列表 (4)-1.jpg,weekday,2025-12-19T16:54:02.751546,,
grammar_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (34)-2.jpg,weekday,2025-12-19T16:54:02.913379,,
dialogue_text,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (38)-1.jpg,weekday,2025-12-19T16:54:02.992080,,
reading_passage,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (38)-2.jpg,weekday,2025-12-19T16:54:03.224258,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (45)-2.jpg,weekday,2025-12-19T16:54:03.568435,,
vocabulary_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (40)-1.jpg,weekday,2025-12-19T16:54:03.583205,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (43)-1.jpg,weekday,2025-12-19T16:54:03.643077,,
screen_capture,screen_capture,english,grade_7_9,unclear,high,拍照翻译列表 (33)-2.jpg,weekday,2025-12-19T16:54:03.922960,,
vocabulary_exercise,homework_book,english,grade_1_3,doing_homework,high,拍照翻译列表 (41)-2.jpg,weekday,2025-12-19T16:54:03.954404,,
dialogue_text,official_textbook,english,grade_1_3,previewing,high,拍照翻译列表 (47)-2.jpg,weekday,2025-12-19T16:54:03.993103,,
cloze_test,official_textbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (33)-1.jpg,weekday,2025-12-19T16:54:04.203240,,
reading_comprehension,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (44)-2.jpg,weekday,2025-12-19T16:54:04.221387,,
reading_passage,official_textbook,chinese,grade_4_6,previewing,high,拍照翻译列表 (4)-2.jpg,weekday,2025-12-19T16:54:04.342887,,
reading_comprehension,exam_paper,english,grade_7_9,reviewing_exam,high,拍照翻译列表 (44)-1.jpg,weekday,2025-12-19T16:54:04.562417,,
cloze_test,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (39)-2.jpg,weekday,2025-12-19T16:54:04.591267,,
reading_comprehension,homework_book,english,grade_10_12,doing_homework,high,拍照翻译列表 (35)-1.jpg,weekday,2025-12-19T16:54:04.638549,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (42)-1.jpg,weekday,2025-12-19T16:54:04.710776,,
grammar_exercise,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (35)-2.jpg,weekday,2025-12-19T16:54:04.783931,,
homework_worksheet,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (45)-1.jpg,weekday,2025-12-19T16:54:04.803798,,
vocabulary_exercise,workbook,english,grade_1_3,doing_exercises,high,拍照翻译列表 (40)-2.jpg,weekday,2025-12-19T16:54:04.866076,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (41)-1.jpg,weekday,2025-12-19T16:54:04.916227,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (39)-1.jpg,weekday,2025-12-19T16:54:04.982889,,这是一份初中英语阅读理解练习材料，来自配套练习册，包含阅读文章和选择题（如第1题询问1995年事件的意义），用于学生做英语阅读理解练习。
reading_passage,official_textbook,chinese,unclear,previewing,medium,拍照翻译列表 (5)-2.jpg,weekday,2025-12-19T16:54:05.355780,,
other,screen_capture,physics,grade_10_12,unclear,medium,拍照翻译列表 (5)-1.jpg,weekday,2025-12-19T16:54:05.594920,,
grammar_exercise,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (50)-1.jpg,weekday,2025-12-19T16:54:05.971574,,
,,,,,,拍照翻译列表 (49)-2.jpg,weekday,2025-12-19T16:54:06.090534,请求失败 (尝试 3/3): API错误: Too many requests,
reading_passage,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (46)-2.jpg,weekday,2025-12-19T16:54:06.528997,,
reading_comprehension,screen_capture,english,grade_7_9,doing_exercises,high,拍照翻译列表 (51)-1.jpg,weekday,2025-12-19T16:54:06.596720,,
reading_passage,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (47)-1.jpg,weekday,2025-12-19T16:54:06.633313,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (50)-2.jpg,weekday,2025-12-19T16:54:06.706045,,
